,id,area_ha,lluvia_mm,temp_media_c,fertilizante_kg_ha,ph_suelo,materia_organica_pct,altitud_m,mano_obra_horas,riego,tipo_suelo,variedad_semilla,uso_pesticidas,historial_plagas,rendimiento_kg_ha,plaga_severa
0,1,1.6399068280327456,418.9121092777717,12.94737210664492,80.11246867396855,6.378618311576871,0.9615643705578294,564.3503210693872,117.65788357042412,Si,Franco,V1,Alto,Nunca,6320.2826549010215,0
1,2,3.181229640832478,829.8836812672354,13.273468320918116,120.90758530321447,6.510039820886319,5.700165198819949,848.3514572290389,118.78326979591144,Si,Franco,V2,Medio,Nunca,8011.8398329387455,1
2,3,2.3351126189287754,,15.318376363322876,116.18253250016384,6.338458801445486,1.8622462390384529,471.8600552841441,158.01643895239454,No,Franco,V1,,Frecuente,6380.726607830517,1
3,4,3.3804140423442623,596.4522935769489,21.75812388180443,259.0920314138581,7.016592554775693,7.405093073674068,792.0096630523942,99.67573332683116,No,Arcilloso,V2,Medio,Ocasional,6969.167512993186,1
4,5,2.119452455683069,468.5271900056182,17.286543225084657,116.32107566925428,5.538013931914208,0.3719696234315933,359.0440711295767,95.33227358008824,Si,Arenoso,V1,Alto,Frecuente,6416.729743433606,1
5,6,0.9153085818760645,852.1188571378669,13.900904112010032,119.6772272896814,6.271647846206179,2.33712073847576,620.854733307111,89.5064679084978,Si,Franco,V2,Bajo,Nunca,7638.293049418279,1
6,7,2.4773731643631813,414.15823160151945,18.778698762388384,117.24361040086782,5.968369640189708,1.0793046027920965,757.0121642642988,128.06374670298266,Si,Arcilloso,V1,Bajo,Ocasional,6482.994535319955,1
7,8,4.84474896446864,606.2938208605586,19.47189911353581,411.4063378726109,6.790544099645736,2.0013341666725504,155.12368638597997,107.34424636076076,Si,Arcilloso,V1,Bajo,Ocasional,7391.179094095652,1
8,9,4.921950635459829,776.8813155257948,15.83876001126328,94.21321881692602,6.492898349758868,4.002168887503912,308.2222047347562,125.82881115272906,Si,Arcilloso,V2,Bajo,Nunca,7394.805937187198,1
9,10,4.627050324905694,514.2538706484767,13.285371265308118,39.79151489870749,6.382780591197376,1.3530725156191523,379.4493866049826,105.31691509722148,Si,Arenoso,V1,,Nunca,6362.697736397828,1
10,11,3.017094244886702,611.0858774976673,25.18100153066284,349.0380479368533,6.398534009310597,1.0673064517588782,627.6888402669936,108.45047236969953,Si,Franco,V4,,Ocasional,7720.28826119281,1
11,12,1.5925207035021915,,15.627260377470108,46.13193036601467,5.87577061687251,2.0545006147728198,634.8272855970852,142.54131597925362,No,Calizo,V1,Medio,Nunca,7005.144296126422,0
12,13,4.031018172646122,606.6470447295512,17.976411744726878,440.9197634008728,6.80921791439682,1.8230858205749203,338.70365714364,155.6789267470351,No,Arenoso,V3,Bajo,Ocasional,6845.277991335492,1
13,14,2.281452886776373,,20.0805580019906,61.19133444598846,7.011428672432711,2.900722417670204,361.1384377297648,104.38520049884976,Si,Arenoso,V3,Medio,Nunca,7196.138973564874,0
14,15,4.641614543958332,417.3561864057817,9.691060681498746,55.36441925499389,6.171048305178615,2.194228558052964,400.8966143842276,103.3772829184834,No,Arenoso,V1,Alto,Ocasional,5735.15328096876,0
15,16,5.349919420213001,449.766860193445,14.828612735701936,87.93762870294071,6.277537675966775,3.675541227051318,290.1257539643567,78.96108351500087,No,Arcilloso,V1,Bajo,Nunca,6296.630235312568,0
16,17,1.391279213381185,475.7609406110402,22.56051720694735,117.22652785251915,6.612845905781557,2.0075097600064526,728.2130447796626,150.6398339355875,No,Franco,V3,,Nunca,6777.650268142224,1
17,18,3.5324364037010803,221.51103757553184,17.480040866636834,210.9601724720269,5.503055173107652,0.1597836862380562,651.7466508938165,96.94302378584098,No,Franco,V4,Bajo,Nunca,6002.7349841915975,0
18,19,2.876578092220861,717.0882176907648,17.282814857352033,111.34443575502564,5.919254591171784,2.4355515483965444,672.1479261586953,148.3203526364253,Si,Arenoso,V1,Bajo,Nunca,7165.509353172653,0
19,20,4.638228088046674,602.9777527364664,16.273450215018073,99.5747186247158,6.219802206947332,3.2057578689350392,828.3025801733578,168.81269932706903,Si,Calizo,V1,Medio,Ocasional,7088.572237697471,1
20,21,4.016669161617272,374.7339747577468,17.180918985047676,115.89666257737429,6.713764035206531,3.7798145315293263,273.7939121121068,88.39611888445106,Si,Arenoso,V4,Alto,Nunca,6645.022367443947,0
21,22,4.196880409814256,325.76782749890214,13.684951114029854,116.55305723140664,6.650127903193097,1.4273396176122242,411.2278601415078,97.9482403792408,No,Arenoso,V2,Bajo,Nunca,5746.278822284919,0
22,23,2.587541933848787,683.8560504163036,18.503016614647056,58.14652284985609,7.204343220310776,1.2276717214284598,983.1407951352084,92.40165686932308,Si,Franco,V2,Bajo,Ocasional,7245.270204090766,1
